pk_artista,name
1,AC/DC
2,Aliotta Haynes Jeremiah
3,Anitta
4,Billy Idol
5,Billy Joel
6,Bobby McFerrin
7,Bonnie Tyler
8,Cazuza
9,Chris Cornell
10,Coldplay
11,Coolio
12,Cyndi Lauper
13,David Bowie
14,Dio
15,Don McLean
16,Elton John
17,Eminem
18,Engelbert Humperdinck
19,Europe
20,Fleetwood Mac
21,George Harrison
22,Glem Campbell
23,grandon
24,Guns N' Roses
25,Hot Chocolate
26,Imagine Dragons
27,Jay and the Americans
28,Jessie Reyez
29,Jim Croce
30,Johnny Cash
31,Juice WRLD
32,Led Zeppelin
33,Legião Urbana
34,Leonard Cohen
35,Lil Nas X
36,Luísa Sonza
37,Madonna
38,Marvin Gaye
39,MC Fioti
40,Metallica
41,Michael Jackson
42,Nirvana
43,Pabllo Vittar
44,Prince
45,Queen
46,Raul Seixas
47,Red Hot Chili Peppers
48,Redbone
49,Scorpions
50,Starship
51,Tammi Tarell
52,Teas For Fears
53,The Chordettes
54,The Clash
55,The Go Go's
56,The Police
57,The Sweet 
58,The Weeknd
59,The Who
60,Tim Maia
61,TOTO
62,Van Halen
