pk_musica,name,artist_id,year,brazilian,youtube_url,image_url,imagem_musica
1,Bohemian Rhapsody,45,1975,0,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,https://www.letras.com/queen/64295/,https://upload.wikimedia.org/wikipedia/pt/9/9f/Bohemian_Rhapsody.png
2,Starman,13,1972,0,https://www.youtube.com/watch?v=aBKEt3MhNMM,https://www.letras.com/david-bowie/5355/,https://akamai.sscdn.co/uploadfile/letras/fotos/9/7/f/5/97f565409408d249e12f85acd21a43f6.jpg
3,Don't Stop Me Now,45,1978,0,https://www.youtube.com/watch?v=HgzGwKwLmgM,https://www.letras.com/queen/79287/,https://i.pinimg.com/originals/7f/c4/ce/7fc4cecf00b390c6664d19b5c04d7d52.jpg
4,Sweet Child O' Mine,24,1987,0,https://www.youtube.com/watch?v=1w7OgIMMRc4,https://www.letras.com/guns-n-roses/17094/,https://legadodamarvel.com.br/wp-content/uploads/2022/06/album-apetite-for-destruction-legadodamarvel.jpg
5,Rocket Man,16,1972,0,https://www.youtube.com/watch?v=DtVBCG6ThDk,https://www.letras.com/rocketman/rocket-man/,https://www.artscommented.com/wp-content/uploads/2019/06/rocketman-poster.jpg
6,November Rain,24,1991,0,https://www.youtube.com/watch?v=8SbUC-UaAxE,https://www.letras.com/guns-n-roses/13382/,https://cdns-images.dzcdn.net/images/cover/546fe1eca5d3bf48c6a48fb3c0ddac63/500x500.jpg
7,Adventure of a Lifetime,10,2015,0,https://www.youtube.com/watch?v=QtXby3twMmI,https://www.letras.com/coldplay/adventure-of-a-lifetime/,https://akamai.sscdn.co/uploadfile/letras/albuns/a/3/8/8/471551448381863.jpg
8,Lose Yourself,17,2002,0,https://www.youtube.com/watch?v=_Yhyp-_hX2s,https://www.letras.com/eminem/63454/,https://pbs.twimg.com/media/Ema1tc0W4AIBEz-.jpg
9,The Final Countdown,19,1986,0,https://www.youtube.com/watch?v=NNiTxUEnmKI,https://www.letras.com/europe/13191/,https://m.media-amazon.com/images/I/A1X2+QDkI5L._AC_SL1500_.jpg
10,Beat It,41,1982,0,https://www.youtube.com/watch?v=oRdxUFDoQe0,https://www.letras.com/michael-jackson/64237/,https://i1.sndcdn.com/artworks-000329038545-d554xk-t500x500.jpg
11,Californication,47,1999,0,https://www.youtube.com/watch?v=YlUKcNNmywk,https://www.letras.com/red-hot-chili-peppers/32764/,https://upload.wikimedia.org/wikipedia/en/d/df/RedHotChiliPeppersCalifornication.jpg
12,Space Oddity,13,1969,0,https://www.youtube.com/watch?v=iYYRH4apXDo,https://www.letras.com/david-bowie/5362/,https://m.media-amazon.com/images/I/A19psKwYA5L._AC_SL1500_.jpg
